url,servicios_extra,estacionamiento,wifi,ambiente,juegos,familias,celiacos,veganos,horario_atencion,alcohol,resenas,rango_precio,reuniones_laborales,musica,accesible_silla_ruedas
/Restaurant_Review-g312741-d26322909-Reviews-Criolla_Cooking_Wine-Buenos_Aires_Capital_Federal_District.html,Ninguno,No,No,Romántico,No,No,No,No,12:00 - 22:00,No,309,Bajo,No,Sí,Sí
/Restaurant_Review-g312741-d15325004-Reviews-Fogon_Asado-Buenos_Aires_Capital_Federal_District.html,"Eventos privados, Catering",Sí,Gratis,Elegante,No,No,No,No,12:00 - 22:00,Sí,2682,Alto,Sí,Sí,Sí
/Restaurant_Review-g312741-d8696562-Reviews-Argentine_Experience-Buenos_Aires_Capital_Federal_District.html,"Eventos privados, Catering",Sí,Gratis,Elegante,No,No,No,No,12:00 - 22:00,No,4594,Alto,Sí,Sí,Sí
/Restaurant_Review-g312741-d25279370-Reviews-Frenessi_Buenos_Aires-Buenos_Aires_Capital_Federal_District.html,Ninguno,No,No,Casual,No,No,No,No,12:00 - 22:00,Sí,190,Bajo,No,Sí,Sí
/Restaurant_Review-g312741-d25198242-Reviews-Italpast-Buenos_Aires_Capital_Federal_District.html,Ninguno,No,No,Acogedor,No,No,No,No,12:00 - 22:00,No,1212,Bajo,No,Sí,Sí
/Restaurant_Review-g312741-d929310-Reviews-Michelangelo_Legend-Buenos_Aires_Capital_Federal_District.html,Ninguno,No,No,Casual,No,No,No,No,12:00 - 22:00,No,364,Bajo,No,No,Sí
/Restaurant_Review-g312741-d814198-Reviews-El_Mercado-Buenos_Aires_Capital_Federal_District.html,Ninguno,No,No,Familiar,No,No,No,No,12:00 - 22:00,No,4821,Bajo,No,Sí,Sí
/Restaurant_Review-g312741-d19101236-Reviews-Hierro_Parrilla_San_Telmo-Buenos_Aires_Capital_Federal_District.html,"Eventos privados, Catering",Sí,Gratis,Familiar,No,No,No,No,12:00 - 22:00,Sí,2013,Alto,No,Sí,Sí
/Restaurant_Review-g312741-d1926010-Reviews-Cucina_D_Onore-Buenos_Aires_Capital_Federal_District.html,Ninguno,No,No,Elegante,No,No,No,No,12:00 - 22:00,No,4345,Bajo,Sí,Sí,Sí
/Restaurant_Review-g312741-d25170609-Reviews-Hierro_Palermo_Parrilla-Buenos_Aires_Capital_Federal_District.html,"Eventos privados, Catering",Sí,Gratis,Moderno,No,No,No,No,12:00 - 22:00,Sí,1513,Alto,Sí,No,No
/Restaurant_Review-g312741-d10157097-Reviews-La_Dorita_del_Botanico-Buenos_Aires_Capital_Federal_District.html,Ninguno,No,No,Elegante,No,No,No,No,12:00 - 22:00,Sí,3861,Bajo,Sí,No,Sí
/Restaurant_Review-g312741-d2348109-Reviews-La_Pescadorita-Buenos_Aires_Capital_Federal_District.html,Ninguno,No,No,Acogedor,No,No,No,No,12:00 - 22:00,No,4813,Bajo,No,Sí,Sí
/Restaurant_Review-g312741-d14142456-Reviews-Alberto_s_Lobby_Bar-Buenos_Aires_Capital_Federal_District.html,Ninguno,No,No,Romántico,No,No,No,No,12:00 - 22:00,Sí,451,Bajo,No,Sí,Sí
/Restaurant_Review-g312741-d23717062-Reviews-A_Fuego_Fuerte_Restaurant-Buenos_Aires_Capital_Federal_District.html,Ninguno,No,No,Elegante,No,No,No,No,12:00 - 22:00,No,453,Bajo,Sí,Sí,Sí
/Restaurant_Review-g312741-d25456165-Reviews-Kefi_Restaurante_Griego-Buenos_Aires_Capital_Federal_District.html,Ninguno,No,No,Elegante,No,No,No,No,12:00 - 22:00,No,415,Bajo,Sí,Sí,Sí
/Restaurant_Review-g312741-d866502-Reviews-La_Dorita_de_Palermo-Buenos_Aires_Capital_Federal_District.html,Ninguno,No,No,Familiar,No,No,No,No,12:00 - 22:00,Sí,4809,Bajo,No,Sí,Sí
/Restaurant_Review-g312741-d1897897-Reviews-Positano_Lirica_Opera_Ristorante-Buenos_Aires_Capital_Federal_District.html,Ninguno,No,No,Acogedor,No,No,No,No,12:00 - 22:00,No,1243,Bajo,No,Sí,No
